timestamp,linkrate_kbps
944,968.62
945,426.31
946,958.82
947,1415.14
948,1370.86
949,1195.31
950,1041.09
951,1628.54
953,1475.21
954,1568.42
955,1701.64
956,551.33
957,786.94
958,1317.17
959,1482.95
960,1480.56
961,1457.01
962,1104.39
963,1417.83
964,965.81
965,1475.25
966,1902.06
967,2056.31
968,1917.71
969,1531.66
970,1416.40
971,1407.05
972,1457.68
973,703.45
975,1333.84
976,1323.19
977,1712.67
978,1380.32
979,1847.88
980,1697.00
981,1210.30
982,1316.74
983,1191.08
984,1428.29
985,1145.12
986,967.72
987,1073.23
988,1258.33
989,1397.92
990,1791.71
992,1023.89
993,1103.52
994,1108.24
995,1360.46
996,1444.38
997,751.95
998,661.52
999,925.79
1000,704.97
1001,118.72
1002,1145.46
1003,488.57
1004,1523.90
1005,1280.83
1006,1463.37
1007,1592.18
1008,1206.64
1009,1449.14
1010,1654.43
1011,1081.39
1012,1254.10
1013,1209.28
1014,1044.72
1015,1196.81
1016,1364.36
1017,1201.54
1019,811.53
1020,987.05
1021,1317.03
1022,1359.48
1023,1305.95
1024,1223.55
1025,1253.58
1026,1017.62
1027,1317.64
1028,989.51
1029,1591.94
1030,1618.53
1031,1270.24
1032,1543.53
1033,1083.18
1034,1316.96
1035,1408.93
1036,1484.77
1037,1444.24
1038,1664.58
1039,1155.28
1040,1350.05
1041,1384.18
1043,1238.65
1044,1433.11
1045,1159.21
1046,1606.99
1047,1255.02
1048,1372.69
1049,1450.51
1050,1648.24
1051,1060.07
1052,1479.65
1053,2053.96
1054,1662.42
1055,1748.51
1056,1701.62
1057,1440.70
1058,1239.87
1059,1356.33
1061,1354.12
1062,1083.14
1063,1032.04
1064,1161.29
1065,1643.17
1066,1386.25
1067,2299.21
1068,1317.73
1069,1350.38
1070,1376.63
1071,1751.59
1072,1487.86
1073,1678.27
1074,1438.90
1076,1295.29
1077,1556.33
1078,1452.53
1079,1292.75
1080,1149.44
1081,1333.93
1082,1361.15
1083,1438.60
1084,1235.28
1085,1579.92
1086,1767.11
1087,1722.55
1088,1628.85
1089,1649.79
1090,1553.01
1091,1865.56
1092,1614.16
1093,1578.43
1094,1330.62
1095,1314.36
1096,1453.93
1097,1289.53
1098,1053.08
1099,1507.68
1100,1559.66
1101,1408.23
1103,1811.26
1104,1830.51
1105,1836.23
1106,1857.96
1107,1974.45
1108,1344.23
1109,1862.47
1110,1762.12
1111,2082.75
1112,1847.24
1113,1885.28
1114,1917.35
1115,1655.08
1116,1521.03
1117,2027.57
1118,1592.73
1119,1968.62
1120,2196.08
1121,1546.44
1122,1823.60
1123,1376.56
1124,1792.15
1125,1980.69
1126,2364.97
1127,1521.22
1128,1975.70
1129,1693.39
1131,1323.33
1132,1505.98
1133,984.28
1134,1562.27
1135,1725.79
1136,1590.31
1137,1554.92
1138,1414.50
1139,1479.94
1140,1481.34
1141,1418.29
1142,1464.59
1143,1674.62
